fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
07.04;00.07;00.00;01.09;0.076;11.00;34.00.00;6,929166667;03.51;00.56;09.04;5
07.08;0,061111111;00.00;02.06;0.098;25.00.00;67.00.00;6,922222222;03.02;0,047222222;09.08;5
07.08;0,052777778;00.04;02.03;0.092;15.00;54.00.00;0,692361111;03.26;0,045138889;09.08;5
11.02;00.28;00.56;01.09;0.075;17.00;60.00.00;0,693055556;03.16;00.58;09.08;6
07.04;00.07;00.00;01.09;0.076;11.00;34.00.00;6,929166667;03.51;00.56;09.04;5
07.04;0,045833333;00.00;01.08;0.075;13.00;40.00.00;6,929166667;03.51;00.56;09.04;5
07.09;00.06;00.06;01.06;0.069;15.00;59.00.00;6,919444444;03.03;00.46;09.04;5
07.03;0,045138889;00.00;01.02;0.065;15.00;21.00;6,906944444;03.39;00.47;10.00;7
07.08;00.58;00.02;02.00;0.073;09.00;18.00;6,922222222;03.36;00.57;09.05;7
07.05;00.05;00.36;06.01;0.071;17.00;102.00.00;6,929166667;03.35;00.08;10.05;5
06.07;00.58;00.08;01.08;0.09699999999999999;15.00;65.00.00;6,915972222;03.28;00.54;09.02;5
07.05;00.05;00.36;06.01;0.071;17.00;102.00.00;6,929166667;03.35;00.08;10.05;5
05.06;0,427083333;00.00;01.06;0.08900000000000001;16.00;59.00.00;6,904861111;03.58;00.52;09.09;5
07.08;0,042361111;00.29;01.06;0,079166667;09.00;29.00.00;6,926388889;03.26;01.56;09.01;5
08.09;0,043055556;00.18;03.08;0.17600000000000002;52.00.00;145.00.00;6,934722222;03.16;0,061111111;09.02;5
08.09;0,043055556;00.19;03.09;00.17;51.00.00;148.00.00;6,934722222;03.17;0,064583333;09.02;5
08.05;00.28;00.56;01.08;0.092;35.00.00;103.00.00;6,922916667;03.03;0,052083333;10.05;7
08.01;00.56;00.28;01.07;0,255555556;16.00;56.00.00;6,922222222;03.11;01.28;09.03;5
07.04;00.59;00.08;04.04;0.086;06.00;29.00.00;6,926388889;03.38;00.05;09.00;4
07.09;00.32;00.51;01.08;0,236805556;17.00;56.00.00;6,922916667;03.04;01.08;09.02;6
08.09;00.22;00.48;01.08;0.077;29.00.00;60.00.00;6,922222222;03.39;00.53;09.04;6
07.06;00.39;00.31;02.03;0.08199999999999999;23.00;71.00.00;6,931944444;03.52;0,045138889;09.07;5
07.09;00.43;00.21;01.06;0,073611111;10.00;37.00.00;6,920833333;03.17;0,063194444;09.05;5
08.05;00.49;00.11;02.03;0.084;09.00;67.00.00;6,922222222;03.17;00.53;09.04;5
06.09;00.04;00.14;02.04;0.085;21.00;40.00.00;6,922222222;03.43;0,04375;09.07;6
06.03;00.39;00.16;01.04;00.08;11.00;23.00;6,913194444;03.34;00.56;09.03;5
07.06;00.41;00.24;01.08;00.08;04.00;11.00;6,918055556;03.28;00.59;09.05;5
07.09;00.43;00.21;01.06;0,073611111;10.00;37.00.00;6,920833333;03.17;0,063194444;09.05;5
07.01;0,049305556;00.00;01.09;00.08;14.00;35.00.00;6,925;03.47;00.55;09.04;5
07.08;0,447916667;00.00;02.00;0.08199999999999999;08.00;16.00;6,919444444;03.38;00.59;09.08;6
06.07;0,46875;00.07;02.04;0.08900000000000001;17.00;82.00.00;6,915277778;03.35;00.54;10.01;5
06.09;0,475694444;00.00;02.05;0,072916667;22.00;37.00.00;6,920833333;03.46;00.57;10.06;6
08.03;0,454861111;00.12;02.03;0.083;15.00;113.00.00;6,920833333;03.17;0,045833333;09.08;5
06.09;0,420138889;00.12;10.07;0.073;40.00.00;83.00.00;6,939583333;03.45;00.52;09.04;6
05.02;00.32;00.25;01.08;0.10300000000000001;13.00;50.00.00;6,914583333;03.38;00.55;09.02;5
07.08;0,447916667;00.00;05.05;0.086;05.00;18.00;6,934722222;03.04;00.55;09.06;6
07.08;00.06;00.14;02.04;0.086;03.00;15.00;6,927083333;03.42;00.06;10.08;6
08.01;00.38;00.28;02.01;0.066;13.00;30.00.00;6,922222222;03.23;0,050694444;09.07;7
05.07;01.13;00.09;01.05;0,119444444;07.00;19.00;0.9940000000000001;03.05;00.48;09.08;4
07.03;00.45;00.36;05.09;0.07400000000000001;12.00;87.00.00;6,929166667;03.33;0,057638889;10.05;5
07.03;00.45;00.36;05.09;0.07400000000000001;12.00;87.00.00;6,929166667;03.33;0,057638889;10.05;5
08.08;0,042361111;00.03;02.08;0.08800000000000001;17.00;46.00.00;6,927777778;03.26;00.51;09.03;4
07.05;00.49;00.02;02.06;0,230555556;08.00;14.00;6,922222222;03.21;00.09;10.05;6
08.01;0,045833333;00.22;02.02;0.069;09.00;23.00;6,922222222;03.03;01.02;10.03;5
06.08;0,046527778;00.02;01.08;00.05;05.00;11.00;6,918055556;03.48;00.52;09.05;5
04.06;00.52;00.15;02.01;0.054000000000000006;08.00;65.00.00;6,898611111;03.09;00.56;13.01;4
07.07;0,649305556;00.43;02.02;0,079166667;22.00;114.00.00;0,692361111;03.25;0,050694444;09.02;5
08.07;00.29;00.52;01.06;0,078472222;12.00;37.00.00;6,922916667;03.25;00.58;09.05;5
06.04;00.04;00.23;01.06;0.066;05.00;12.00;6,915277778;03.34;00.56;09.02;5
05.06;00.31;00.37;01.04;0.07400000000000001;12.00;96.00.00;6,9125;03.32;00.58;09.02;5
08.08;0,045833333;00.26;01.07;0.07400000000000001;04.00;23.00;6,924305556;03.15;0,051388889;09.02;5
06.06;00.52;00.04;02.02;0.069;08.00;15.00;6,913888889;03.04;0,04375;09.04;6
06.06;00.05;00.04;02.01;0.068;06.00;14.00;6,913194444;03.39;0,044444444;09.04;6
08.06;00.38;00.36;03.00;0.081;30.00.00;119.00.00;0,692361111;03.02;00.56;09.04;5
07.06;00.51;00.15;02.08;00.11;33.00.00;73.00.00;6,913194444;03.17;0,04375;10.02;6
07.07;0,043055556;00.04;03.08;0.084;25.00.00;45.00.00;6,929166667;03.34;00.53;09.05;5
10.02;00.42;00.57;03.04;00.07;04.00;10.00;6,924305556;03.04;0,04375;09.06;5
07.05;0,04375;00.12;05.01;0,077083333;50.00.00;110.00.00;6,932638889;03.26;0,053472222;09.04;5
07.08;00.59;00.18;02.03;0.076;17.00;54.00.00;6,927083333;03.43;00.59;10.00;5
07.03;00.39;00.31;02.04;0.07400000000000001;09.00;46.00.00;6,918055556;03.41;00.54;09.04;6
08.08;00.04;00.04;02.02;0.079;19.00;52.00.00;0,693055556;03.44;0,044444444;09.02;5
07.07;0,047916667;00.49;01.08;0,079861111;20.00;112.00.00;6,922222222;03.21;0,049305556;09.03;5
07.05;00.52;00.16;01.09;0.085;12.00;35.00.00;6,922222222;03.38;0,043055556;09.05;7
07.00;0,510416667;00.05;02.00;0.081;13.00;54.00.00;6,920833333;03.39;00.57;09.08;5
07.02;0,503472222;00.05;0,211805556;0.086;04.00;11.00;6,918055556;03.41;00.39;10.09;5
07.02;0,503472222;00.05;0,211805556;0.086;04.00;11.00;6,918055556;03.41;00.39;10.09;5
07.05;00.52;00.11;01.05;0.079;11.00;39.00.00;6,922222222;03.42;00.58;09.06;5
06.06;0,489583333;00.07;01.06;0.076;06.00;15.00;6,918055556;03.44;00.58;10.07;5
09.03;00.32;00.57;02.00;0.07400000000000001;27.00.00;65.00.00;6,922916667;03.28;0,054861111;10.07;5
08.00;0,489583333;00.05;01.09;0.07400000000000001;08.00;19.00;6,918055556;03.34;0,065972222;10.05;6
07.07;0,04375;00.08;01.09;0.076;15.00;27.00.00;6,921527778;03.32;00.54;09.05;6
07.07;0,046527778;00.23;02.01;0.08800000000000001;17.00;96.00.00;6,918055556;03.32;00.48;09.05;5
07.07;0,047916667;00.22;01.09;0.084;18.00;94.00.00;6,917361111;03.31;00.48;09.05;5
08.03;0,46875;00.26;02.01;0.084;11.00;43.00.00;6,927777778;03.31;00.53;09.02;4
09.07;00.32;00.54;02.05;0.094;28.00.00;83.00.00;6,933333333;03.28;0,056944444;09.06;5
08.08;00.41;0,044444444;02.02;0.09300000000000001;09.00;42.00.00;6,934722222;03.54;0,045833333;10.05;5
08.08;00.41;0,044444444;02.02;0.09300000000000001;09.00;42.00.00;6,934722222;03.54;0,045833333;10.05;5
06.08;0,545138889;00.00;02.04;0.10400000000000001;14.00;30.00.00;6,920833333;03.52;00.55;10.07;6
06.07;0,052083333;00.12;02.00;0.086;12.00;80.00.00;6,915277778;03.38;00.52;10.01;5
08.03;0,434027778;00.02;01.05;00.08;27.00.00;119.00.00;6,925;03.16;01.12;09.01;4
06.02;00.45;00.02;01.06;0.069;03.00;15.00;6,915277778;03.41;00.56;09.02;5
07.08;00.43;00.07;01.09;0.46399999999999997;22.00;67.00.00;6,926388889;03.13;01.28;09.04;5
07.04;00.05;00.47;02.00;0.086;21.00;73.00.00;0,692361111;03.36;00.57;09.01;5
07.03;0,046527778;00.26;01.08;0,278472222;16.00;51.00.00;6,922916667;03.16;01.14;09.04;5
06.03;00.03;00.48;01.08;0.069;18.00;61.00.00;6,915972222;03.44;0,054166667;10.03;6
06.09;00.55;00.15;02.02;0.076;19.00;40.00.00;6,917361111;03.41;00.59;10.01;5
08.06;00.49;00.28;01.09;00.11;20.00;136.00.00;6,925;0,147916667;0,107638889;09.09;6
07.07;00.49;00.26;01.09;0.062;09.00;31.00.00;6,920833333;03.39;0,044444444;09.06;5
09.03;00.39;00.44;02.01;0,074305556;34.00.00;125.00.00;6,929166667;03.14;01.22;09.05;5
07.00;0,043055556;00.08;01.08;0.076;08.00;24.00.00;6,929166667;03.48;00.53;09.00;5
07.09;00.52;00.26;01.09;0.079;42.00.00;140.00.00;6,919444444;03.23;00.54;09.05;5
08.06;00.49;00.28;01.09;00.11;20.00;136.00.00;6,925;0,147916667;0,107638889;09.09;6
08.06;00.49;00.29;02.00;00.11;19.00;133.00.00;6,925;0,147916667;0,109722222;09.08;5
07.07;00.49;00.26;01.09;0.062;09.00;31.00.00;6,920833333;03.39;0,044444444;09.06;5
05.00;01.02;00.04;01.04;0.045;41.00.00;85.00.00;6,901388889;0,177083333;00.48;10.05;4
04.07;00.06;00.17;02.03;0.057999999999999996;17.00;106.00.00;6,897222222;0,184027778;00.06;12.09;6
06.08;0,538194444;00.00;03.00;0,070833333;08.00;23.00;6,920138889;03.45;00.56;10.07;5
07.00;00.05;00.25;02.00;00.07;03.00;22.00;6,91875;03.25;0,04375;09.02;5
